Region,Diagnosis,Total_Cases,Year,Month,Avg_Temperature,High_Risk,Humidity,Migratory_Bird_Activity,Migration_Level,Biosecurity_Score,Total_Cases_Percent,Biosecurity_Score_Percent,Vaccine_Rate,Poultry_Population_000s
Scotland,Newcastle Disease,2,2018,4,14.4,0,65.0,Low,1,76,1.342281879194631,70.0,59.1,396
Scotland,Salmonella,27,2018,4,14.4,1,65.0,Low,1,74,18.120805369127517,63.33333333333333,59.8,240
Scotland,Infectious Bronchitis,34,2018,4,14.4,1,65.0,Low,1,65,22.818791946308725,33.33333333333333,48.4,283
Scotland,Infectious Bursal Disease,8,2018,4,14.4,0,65.0,Low,1,73,5.369127516778524,60.0,56.1,239
Scotland,Marek's Disease,5,2018,4,14.4,0,65.0,Low,1,75,3.3557046979865772,66.66666666666666,55.8,406
Scotland,All diseases,86,2018,4,14.4,1,65.0,Low,1,63,57.71812080536913,26.666666666666668,42.8,356
Wales,Avian Influenza,8,2018,4,3.7,0,89.4,High,3,65,5.369127516778524,33.33333333333333,64.5,441
Wales,Newcastle Disease,1,2018,4,3.7,0,89.4,High,3,75,0.6711409395973155,66.66666666666666,66.4,483
Wales,Salmonella,15,2018,4,3.7,1,89.4,High,3,65,10.06711409395973,33.33333333333333,69.8,476
Wales,Infectious Bronchitis,20,2018,4,3.7,1,89.4,High,3,79,13.422818791946309,80.0,74.5,628
Wales,Infectious Bursal Disease,7,2018,4,3.7,0,89.4,High,3,79,4.697986577181208,80.0,67.3,644
Wales,Marek's Disease,6,2018,4,3.7,0,89.4,High,3,73,4.026845637583892,60.0,71.4,532
Wales,All diseases,57,2018,4,3.7,1,89.4,High,3,68,38.25503355704698,43.333333333333336,78.1,678
England North,Avian Influenza,10,2018,5,14.3,1,81.9,Low,1,67,6.7114093959731544,40.0,48.6,356
England North,Newcastle Disease,3,2018,5,14.3,0,81.9,Low,1,68,2.013422818791946,43.333333333333336,50.5,397
England North,Salmonella,60,2018,5,14.3,1,81.9,Low,1,75,40.26845637583892,66.66666666666666,56.1,422
England North,Infectious Bronchitis,52,2018,5,14.3,1,81.9,Low,1,61,34.899328859060404,20.0,43.4,364
England North,Infectious Bursal Disease,10,2018,5,14.3,1,81.9,Low,1,69,6.7114093959731544,46.666666666666664,60.2,329
England North,Marek's Disease,7,2018,5,14.3,0,81.9,Low,1,69,4.697986577181208,46.666666666666664,64.3,491
England North,All diseases,142,2018,5,14.3,1,81.9,Low,1,64,95.30201342281879,30.0,55.0,396
England South,Avian Influenza,9,2018,5,9.4,0,68.3,Low,1,63,6.0402684563758395,26.666666666666668,46.5,416
England South,Newcastle Disease,4,2018,5,9.4,0,68.3,Low,1,75,2.684563758389262,66.66666666666666,64.5,318
England South,Salmonella,30,2018,5,9.4,1,68.3,Low,1,63,20.13422818791946,26.666666666666668,47.0,344
England South,Infectious Bronchitis,38,2018,5,9.4,1,68.3,Low,1,68,25.503355704697988,43.333333333333336,46.9,220
England South,Infectious Bursal Disease,11,2018,5,9.4,1,68.3,Low,1,66,7.38255033557047,36.666666666666664,52.4,357
England South,Marek's Disease,8,2018,5,9.4,0,68.3,Low,1,77,5.369127516778524,73.33333333333333,48.0,493
England South,All diseases,100,2018,5,9.4,1,68.3,Low,1,68,67.11409395973155,43.333333333333336,50.2,290
Scotland,Avian Influenza,6,2018,5,9.6,0,70.9,Low,1,70,4.026845637583892,50.0,42.2,418
Scotland,Newcastle Disease,1,2018,5,9.6,0,70.9,Low,1,64,0.6711409395973155,30.0,53.8,480
Scotland,Salmonella,32,2018,5,9.6,1,70.9,Low,1,73,21.476510067114095,60.0,45.1,402
Scotland,Infectious Bronchitis,36,2018,5,9.6,1,70.9,Low,1,67,24.161073825503358,40.0,44.2,418
Scotland,Infectious Bursal Disease,8,2018,5,9.6,0,70.9,Low,1,66,5.369127516778524,36.666666666666664,61.9,353
Scotland,Marek's Disease,3,2018,5,9.6,0,70.9,Low,1,77,2.013422818791946,73.33333333333333,47.1,457
Scotland,All diseases,86,2018,5,9.6,1,70.9,Low,1,76,57.71812080536913,70.0,59.6,209
Wales,Avian Influenza,5,2018,5,9.0,0,85.3,High,3,69,3.3557046979865772,46.666666666666664,60.8,645
Wales,Newcastle Disease,0,2018,5,9.0,0,85.3,High,3,71,0.0,53.333333333333336,68.1,451
Wales,Salmonella,17,2018,5,9.0,1,85.3,High,3,79,11.409395973154362,80.0,77.0,674
Wales,Infectious Bronchitis,24,2018,5,9.0,1,85.3,High,3,69,16.10738255033557,46.666666666666664,71.2,485
Wales,Infectious Bursal Disease,7,2018,5,9.0,0,85.3,High,3,79,4.697986577181208,80.0,74.0,457
Wales,Marek's Disease,5,2018,5,9.0,0,85.3,High,3,69,3.3557046979865772,46.666666666666664,72.7,680
Wales,All diseases,58,2018,5,9.0,1,85.3,High,3,78,38.92617449664429,76.66666666666667,75.0,435
England North,Avian Influenza,9,2018,6,2.2,0,92.6,Low,1,63,6.0402684563758395,26.666666666666668,40.0,354
England North,Newcastle Disease,3,2018,6,2.2,0,92.6,Low,1,70,2.013422818791946,50.0,56.9,325
England North,Salmonella,68,2018,6,2.2,1,92.6,Low,1,57,45.63758389261745,6.666666666666667,48.2,272
England North,Infectious Bronchitis,50,2018,6,2.2,1,92.6,Low,1,58,33.557046979865774,10.0,48.1,227
England North,Infectious Bursal Disease,8,2018,6,2.2,0,92.6,Low,1,56,5.369127516778524,3.3333333333333335,49.0,355
England North,Marek's Disease,7,2018,6,2.2,0,92.6,Low,1,64,4.697986577181208,30.0,57.4,254
England North,All diseases,145,2018,6,2.2,1,92.6,Low,1,58,97.31543624161074,10.0,39.2,276
England South,Avian Influenza,9,2018,6,4.1,0,83.7,Low,1,66,6.0402684563758395,36.666666666666664,59.1,305
England South,Newcastle Disease,2,2018,6,4.1,0,83.7,Low,1,66,1.342281879194631,36.666666666666664,60.7,223
England South,Salmonella,30,2018,6,4.1,1,83.7,Low,1,72,20.13422818791946,56.666666666666664,39.8,420
England South,Infectious Bronchitis,34,2018,6,4.1,1,83.7,Low,1,61,22.818791946308725,20.0,50.4,346
England South,Infectious Bursal Disease,10,2018,6,4.1,1,83.7,Low,1,65,6.7114093959731544,33.33333333333333,57.1,299
England South,Marek's Disease,8,2018,6,4.1,0,83.7,Low,1,57,5.369127516778524,6.666666666666667,48.7,418
England South,All diseases,93,2018,6,4.1,1,83.7,Low,1,65,62.41610738255034,33.33333333333333,42.2,407
Scotland,Avian Influenza,5,2018,6,17.7,0,78.1,Low,1,66,3.3557046979865772,36.666666666666664,52.1,356
Scotland,Newcastle Disease,1,2018,6,17.7,0,78.1,Low,1,59,0.6711409395973155,13.333333333333334,59.6,446
Scotland,Salmonella,35,2018,6,17.7,1,78.1,Low,1,67,23.48993288590604,40.0,40.0,473
Scotland,Infectious Bronchitis,34,2018,6,17.7,1,78.1,Low,1,58,22.818791946308725,10.0,59.4,420
Scotland,Infectious Bursal Disease,7,2018,6,17.7,0,78.1,Low,1,64,4.697986577181208,30.0,62.8,270
Scotland,Marek's Disease,2,2018,6,17.7,0,78.1,Low,1,68,1.342281879194631,43.333333333333336,61.8,295
Scotland,All diseases,84,2018,6,17.7,1,78.1,Low,1,70,56.375838926174495,50.0,48.2,234
Wales,Avian Influenza,3,2018,6,16.8,0,81.7,Moderate,2,63,2.013422818791946,26.666666666666668,70.3,617
Wales,Newcastle Disease,0,2018,6,16.8,0,81.7,Moderate,2,64,0.0,30.0,66.1,499
Wales,Salmonella,20,2018,6,16.8,1,81.7,Moderate,2,62,13.422818791946309,23.333333333333332,74.7,504
Wales,Infectious Bronchitis,25,2018,6,16.8,1,81.7,Moderate,2,61,16.778523489932887,20.0,72.5,534
Wales,Infectious Bursal Disease,6,2018,6,16.8,0,81.7,Moderate,2,74,4.026845637583892,63.33333333333333,75.1,659
Wales,Marek's Disease,5,2018,6,16.8,0,81.7,Moderate,2,62,3.3557046979865772,23.333333333333332,74.3,678
Wales,All diseases,59,2018,6,16.8,1,81.7,Moderate,2,71,39.59731543624161,53.333333333333336,61.5,405
England North,Avian Influenza,8,2018,7,14.7,0,65.2,Low,1,64,5.369127516778524,30.0,56.8,416
England North,Newcastle Disease,3,2018,7,14.7,0,65.2,Low,1,67,2.013422818791946,40.0,54.9,489
England North,Salmonella,62,2018,7,14.7,1,65.2,Low,1,73,41.61073825503356,60.0,59.0,278
England North,Infectious Bronchitis,43,2018,7,14.7,1,65.2,Low,1,70,28.859060402684566,50.0,50.2,250
England North,Infectious Bursal Disease,7,2018,7,14.7,0,65.2,Low,1,73,4.697986577181208,60.0,52.7,412
England North,Marek's Disease,8,2018,7,14.7,0,65.2,Low,1,63,5.369127516778524,26.666666666666668,40.2,253
England North,All diseases,131,2018,7,14.7,1,65.2,Low,1,60,87.91946308724832,16.666666666666664,40.8,476
England South,Avian Influenza,6,2018,7,8.0,0,86.1,Low,1,56,4.026845637583892,3.3333333333333335,60.8,298
England South,Newcastle Disease,4,2018,7,8.0,0,86.1,Low,1,66,2.684563758389262,36.666666666666664,49.3,370
England South,Salmonella,33,2018,7,8.0,1,86.1,Low,1,70,22.14765100671141,50.0,58.2,297
England South,Infectious Bronchitis,30,2018,7,8.0,1,86.1,Low,1,75,20.13422818791946,66.66666666666666,38.4,403
England South,Infectious Bursal Disease,9,2018,7,8.0,0,86.1,Low,1,55,6.0402684563758395,0.0,39.5,249
England South,Marek's Disease,6,2018,7,8.0,0,86.1,Low,1,65,4.026845637583892,33.33333333333333,41.3,206
England South,All diseases,88,2018,7,8.0,1,86.1,Low,1,71,59.06040268456376,53.333333333333336,39.9,468
Scotland,Avian Influenza,3,2018,7,10.8,0,77.7,Low,1,61,2.013422818791946,20.0,41.8,344
Scotland,Newcastle Disease,0,2018,7,10.8,0,77.7,Low,1,60,0.0,16.666666666666664,39.2,474
Scotland,Salmonella,33,2018,7,10.8,1,77.7,Low,1,56,22.14765100671141,3.3333333333333335,44.1,451
Scotland,Infectious Bronchitis,28,2018,7,10.8,1,77.7,Low,1,67,18.79194630872483,40.0,51.7,493
Scotland,Infectious Bursal Disease,5,2018,7,10.8,0,77.7,Low,1,63,3.3557046979865772,26.666666666666668,49.9,320
Scotland,Marek's Disease,2,2018,7,10.8,0,77.7,Low,1,64,1.342281879194631,30.0,44.1,419
Scotland,All diseases,71,2018,7,10.8,1,77.7,Low,1,67,47.651006711409394,40.0,38.9,215
Wales,Avian Influenza,2,2018,7,8.6,0,78.1,Moderate,2,67,1.342281879194631,40.0,61.1,523
Wales,Newcastle Disease,0,2018,7,8.6,0,78.1,Moderate,2,72,0.0,56.666666666666664,68.4,432
Wales,Salmonella,19,2018,7,8.6,1,78.1,Moderate,2,70,12.751677852348994,50.0,72.5,434
Wales,Infectious Bronchitis,21,2018,7,8.6,1,78.1,Moderate,2,71,14.093959731543624,53.333333333333336,71.2,551
Wales,Infectious Bursal Disease,6,2018,7,8.6,0,78.1,Moderate,2,74,4.026845637583892,63.33333333333333,72.2,663
Wales,Marek's Disease,5,2018,7,8.6,0,78.1,Moderate,2,72,3.3557046979865772,56.666666666666664,65.9,544
Wales,All diseases,53,2018,7,8.6,1,78.1,Moderate,2,62,35.57046979865772,23.333333333333332,68.5,535
England North,Avian Influenza,12,2018,8,5.8,1,79.5,Low,1,62,8.053691275167784,23.333333333333332,53.0,434
England North,Newcastle Disease,3,2018,8,5.8,0,79.5,Low,1,74,2.013422818791946,63.33333333333333,51.3,433
England North,Salmonella,60,2018,8,5.8,1,79.5,Low,1,57,40.26845637583892,6.666666666666667,39.8,449
England North,Infectious Bronchitis,43,2018,8,5.8,1,79.5,Low,1,72,28.859060402684566,56.666666666666664,53.6,224
England North,Infectious Bursal Disease,8,2018,8,5.8,0,79.5,Low,1,64,5.369127516778524,30.0,48.1,252
England North,Marek's Disease,7,2018,8,5.8,0,79.5,Low,1,68,4.697986577181208,43.333333333333336,39.4,260
England North,All diseases,133,2018,8,5.8,1,79.5,Low,1,62,89.26174496644296,23.333333333333332,49.2,290
England South,Avian Influenza,8,2018,8,12.8,0,76.7,Low,1,67,5.369127516778524,40.0,44.7,292
England South,Newcastle Disease,1,2018,8,12.8,0,76.7,Low,1,63,0.6711409395973155,26.666666666666668,51.6,231
England South,Salmonella,33,2018,8,12.8,1,76.7,Low,1,65,22.14765100671141,33.33333333333333,44.2,321
England South,Infectious Bronchitis,30,2018,8,12.8,1,76.7,Low,1,73,20.13422818791946,60.0,42.9,259
England South,Infectious Bursal Disease,12,2018,8,12.8,1,76.7,Low,1,60,8.053691275167784,16.666666666666664,39.6,360
England South,Marek's Disease,8,2018,8,12.8,0,76.7,Low,1,66,5.369127516778524,36.666666666666664,42.2,497
England South,All diseases,92,2018,8,12.8,1,76.7,Low,1,60,61.74496644295302,16.666666666666664,54.9,221
Scotland,Avian Influenza,5,2018,8,17.8,0,82.0,Low,1,68,3.3557046979865772,43.333333333333336,62.1,211
Scotland,Newcastle Disease,0,2018,8,17.8,0,82.0,Low,1,70,0.0,50.0,38.3,453
Scotland,Salmonella,34,2018,8,17.8,1,82.0,Low,1,55,22.818791946308725,0.0,51.0,260
Scotland,Infectious Bronchitis,28,2018,8,17.8,1,82.0,Low,1,70,18.79194630872483,50.0,41.0,334
Scotland,Infectious Bursal Disease,5,2018,8,17.8,0,82.0,Low,1,69,3.3557046979865772,46.666666666666664,53.0,279
Scotland,Marek's Disease,2,2018,8,17.8,0,82.0,Low,1,57,1.342281879194631,6.666666666666667,55.1,256
Scotland,All diseases,74,2018,8,17.8,1,82.0,Low,1,72,49.664429530201346,56.666666666666664,46.0,250
Wales,Avian Influenza,2,2018,8,15.0,0,67.3,Moderate,2,67,1.342281879194631,40.0,59.8,558
Wales,Newcastle Disease,0,2018,8,15.0,0,67.3,Moderate,2,62,0.0,23.333333333333332,77.1,536
Wales,Salmonella,19,2018,8,15.0,1,67.3,Moderate,2,64,12.751677852348994,30.0,67.8,673
Wales,Infectious Bronchitis,19,2018,8,15.0,1,67.3,Moderate,2,67,12.751677852348994,40.0,64.8,670
Wales,Infectious Bursal Disease,5,2018,8,15.0,0,67.3,Moderate,2,70,3.3557046979865772,50.0,68.3,474
Wales,Marek's Disease,5,2018,8,15.0,0,67.3,Moderate,2,72,3.3557046979865772,56.666666666666664,75.8,638
Wales,All diseases,50,2018,8,15.0,1,67.3,Moderate,2,61,33.557046979865774,20.0,65.5,508
England North,Avian Influenza,16,2018,9,10.6,1,81.8,Low,1,67,10.738255033557047,40.0,59.7,482
England North,Newcastle Disease,6,2018,9,10.6,0,81.8,Low,1,68,4.026845637583892,43.333333333333336,57.7,411
England North,Salmonella,50,2018,9,10.6,1,81.8,Low,1,74,33.557046979865774,63.33333333333333,42.7,205
England North,Infectious Bronchitis,42,2018,9,10.6,1,81.8,Low,1,69,28.187919463087248,46.666666666666664,55.5,304
England North,Infectious Bursal Disease,8,2018,9,10.6,0,81.8,Low,1,64,5.369127516778524,30.0,43.5,242
England North,Marek's Disease,6,2018,9,10.6,0,81.8,Low,1,73,4.026845637583892,60.0,63.1,476
England North,All diseases,128,2018,9,10.6,1,81.8,Low,1,80,85.90604026845638,83.33333333333334,64.3,411
England South,Avian Influenza,12,2018,9,11.0,1,74.8,Low,1,68,8.053691275167784,43.333333333333336,64.1,460
England South,Newcastle Disease,3,2018,9,11.0,0,74.8,Low,1,74,2.013422818791946,63.33333333333333,46.4,396
England South,Salmonella,32,2018,9,11.0,1,74.8,Low,1,66,21.476510067114095,36.666666666666664,55.8,227
England South,Infectious Bronchitis,34,2018,9,11.0,1,74.8,Low,1,62,22.818791946308725,23.333333333333332,44.7,264
England South,Infectious Bursal Disease,12,2018,9,11.0,1,74.8,Low,1,61,8.053691275167784,20.0,61.3,412
England South,Marek's Disease,7,2018,9,11.0,0,74.8,Low,1,80,4.697986577181208,83.33333333333334,43.1,345
England South,All diseases,100,2018,9,11.0,1,74.8,Low,1,79,67.11409395973155,80.0,40.5,465
Scotland,Avian Influenza,4,2018,9,5.9,0,68.0,Low,1,78,2.684563758389262,76.66666666666667,46.3,494
Scotland,Newcastle Disease,1,2018,9,5.9,0,68.0,Low,1,80,0.6711409395973155,83.33333333333334,60.9,266
Scotland,Salmonella,32,2018,9,5.9,1,68.0,Low,1,75,21.476510067114095,66.66666666666666,55.4,253
